0 -nan -nan -nan -nan 
0.194 0.296364 0.0553583 0.141709 0.12064 
0.195 0.305187 0.0443929 0.0883398 0.0730608 
0.196 0.30966 0.0353638 0.0512952 0.0423764 
0.197 0.309685 0.0285563 0.0317967 0.0294916 
0.198 0.305366 0.0241399 0.0302456 0.0345015 
0.199 0.296987 0.0221697 0.0462589 0.0567399 
0.2 0.284994 0.0225935 0.0787363 0.0948569 
0.201 0.269956 0.0252618 0.125952 0.146919 
0.202 0.252536 0.0299422 0.185666 0.210524 
0.203 0.23346 0.0363351 0.255245 0.282928 
0.204 0.213477 0.0440912 0.331794 0.361173 
0.205 0.193333 0.0528294 0.412281 0.442213 
0.206 0.173741 0.0621536 0.493662 0.523038 
0.207 0.155355 0.0716696 0.572998 0.600775 
0.208 0.138753 0.0809992 0.647548 0.672793 
0.209 0.124418 0.0897934 0.714863 0.736771 
0.21 0.112729 0.0977428 0.772849 0.790769 
0.211 0.103956 0.104585 0.819818 0.833263 
0.212 0.098255 0.110112 0.854521 0.863176 
0.213 0.0956753 0.114169 0.876162 0.879882 
0.214 0.0961611 0.116663 0.884397 0.883203 
0.215 0.0995625 0.117554 0.879317 0.873383 
0.216 0.105646 0.116856 0.861418 0.851059 
0.217 0.114109 0.114633 0.831564 0.817214 
0.218 0.124591 0.11099 0.790936 0.773128 
0.219 0.136691 0.106072 0.74098 0.720324 
0.22 0.149981 0.100052 0.683346 0.66051 
0.221 0.164021 0.0931254 0.619834 0.595513 
0.222 0.178372 0.0855049 0.552327 0.527229 
0.223 0.192608 0.0774095 0.482741 0.457563 
0.224 0.206326 0.0690602 0.412967 0.388375 
0.225 0.21916 0.0606728 0.344821 0.321438 
0.226 0.230782 0.0524528 0.280004 0.258393 
0.227 0.240912 0.0445906 0.220063 0.200715 
0.228 0.249324 0.0372571 0.166359 0.149687 
0.229 0.255841 0.0306011 0.120048 0.106378 
0.23 0.260346 0.0247467 0.0820572 0.0716307 
0.231 0.262773 0.0197921 0.0530842 0.0460517 
0.232 0.263109 0.0158088 0.0335871 0.0300125 
0.233 0.261391 0.0128419 0.0237902 0.0236536 
0.234 0.257699 0.0109106 0.023691 0.0268944 
0.235 0.252158 0.0100096 0.0330735 0.0394474 
0.236 0.244923 0.0101109 0.0515248 0.0608362 
0.237 0.236184 0.0111658 0.078455 0.090416 
0.238 0.22615 0.0131077 0.113119 0.127397 
0.239 0.215049 0.0158545 0.154644 0.170869 
0.24 0.203123 0.0193116 0.202048 0.219828 
0.241 0.190617 0.0233744 0.254273 0.273197 
0.242 0.177778 0.0279316 0.310208 0.329858 
0.243 0.164849 0.0328678 0.36871 0.388672 
0.244 0.152061 0.0380657 0.428635 0.448505 
0.245 0.139637 0.0434093 0.488854 0.508244 
0.246 0.127778 0.0487856 0.548276 0.566823 
0.247 0.116669 0.0540866 0.605866 0.623238 
0.248 0.106474 0.0592114 0.660663 0.67656 
0.249 0.0973305 0.0640673 0.711787 0.725948 
0.25 0.0893541 0.0685711 0.758459 0.770663 
0.251 0.0826342 0.0726499 0.800001 0.81007 
0.252 0.0772354 0.0762421 0.835849 0.843647 
0.253 0.0731971 0.0792974 0.865551 0.870987 
0.254 0.0705349 0.0817772 0.888774 0.891797 
0.255 0.0692415 0.0836543 0.905298 0.905901 
0.256 0.069288 0.0849129 0.915019 0.91323 
0.257 0.0706257 0.0855479 0.917938 0.913826 
0.258 0.0731882 0.0855646 0.914164 0.907827 
0.259 0.076893 0.0849777 0.903899 0.895468 
0.26 0.0816443 0.0838107 0.887435 0.877066 
0.261 0.0873347 0.0820947 0.865142 0.853014 
0.262 0.0938479 0.0798678 0.837461 0.823773 
0.263 0.101061 0.0771739 0.804894 0.789859 
0.264 0.108845 0.0740616 0.767991 0.751833 
0.265 0.117069 0.0705834 0.727342 0.710293 
0.266 0.125604 0.0667945 0.683568 0.665862 
0.267 0.134318 0.062752 0.637308 0.61918 
0.268 0.143086 0.0585138 0.589211 0.570892 
0.269 0.151784 0.054138 0.539925 0.521643 
0.27 0.160296 0.0496818 0.490095 0.472065 
0.271 0.168513 0.0452007 0.440345 0.422773 
0.272 0.176335 0.0407485 0.39128 0.374358 
0.273 0.183669 0.0363758 0.343473 0.327377 
0.274 0.190433 0.0321301 0.297462 0.282354 
0.275 0.196555 0.0280553 0.253748 0.239769 
0.276 0.201974 0.0241911 0.212784 0.200058 
0.277 0.206639 0.0205731 0.174979 0.163611 
0.278 0.21051 0.0172322 0.140691 0.130764 
0.279 0.213559 0.0141948 0.110225 0.101805 
0.28 0.215766 0.0114827 0.0838359 0.0769679 
0.281 0.217123 0.00911294 0.0617244 0.056435 
0.282 0.21763 0.00709796 0.0440388 0.0403361 
0.283 0.217299 0.0054458 0.0308757 0.02875 
0.284 0.216148 0.00416016 0.0222813 0.0217065 
0.285 0.214204 0.00324061 0.0182535 0.0191876 
0.286 0.211501 0.00268289 0.0187438 0.0211307 
0.287 0.208079 0.0024791 0.0236604 0.0274308 
0.288 0.203984 0.00261802 0.0328707 0.0379436 
0.289 0.199269 0.00308542 0.0462051 0.052489 
0.29 0.193987 0.00386438 0.0634597 0.0708544 
0.291 0.188198 0.00493559 0.0844004 0.0927982 
0.292 0.181963 0.00627773 0.108766 0.118053 
0.293 0.175346 0.00786774 0.136274 0.146332 
0.294 0.168412 0.00968118 0.16662 0.177326 
0.295 0.161224 0.0116926 0.199485 0.210717 
0.296 0.15385 0.0138756 0.23454 0.246172 
0.297 0.146351 0.0162036 0.271444 0.283353 
0.298 0.138793 0.0186497 0.309854 0.321918 
0.299 0.131236 0.0211869 0.349424 0.361522 
0.3 0.123739 0.0237889 0.389809 0.401826 
0.301 0.116359 0.0264297 0.430668 0.442493 
0.302 0.109149 0.029084 0.47167 0.483196 
0.303 0.102159 0.0317277 0.512489 0.523615 
0.304 0.0954358 0.0343376 0.552813 0.563446 
0.305 0.0890224 0.0368918 0.592343 0.602396 
0.306 0.0829573 0.0393698 0.630797 0.640191 
0.307 0.0772754 0.0417526 0.667909 0.676571 
0.308 0.072007 0.0440227 0.70343 0.711298 
0.309 0.0671786 0.0461644 0.737133 0.744151 
0.31 0.0628123 0.0481634 0.768811 0.774932 
0.311 0.0589258 0.0500072 0.798276 0.803461 
0.312 0.055533 0.0516852 0.825365 0.829583 
0.313 0.0526436 0.0531882 0.849933 0.853162 
0.314 0.0502633 0.054509 0.871862 0.874087 
0.315 0.0483942 0.0556418 0.89105 0.892264 
0.316 0.0470345 0.0565826 0.907422 0.907625 
0.317 0.0461794 0.0573289 0.920921 0.920121 
0.318 0.0458203 0.0578796 0.931513 0.929723 
0.319 0.0459459 0.0582353 0.939182 0.936423 
0.32 0.0465422 0.0583977 0.943934 0.940232 
0.321 0.0475922 0.05837 0.94579 0.941178 
0.322 0.0490769 0.0581563 0.944793 0.939306 
0.323 0.050975 0.0577622 0.940999 0.93468 
0.324 0.0532634 0.0571939 0.934482 0.927376 
0.325 0.0559173 0.0564589 0.92533 0.917485 
0.326 0.0589104 0.0555651 0.913642 0.905111 
0.327 0.0622155 0.0545216 0.899533 0.89037 
0.328 0.0658042 0.0533377 0.883125 0.873389 
0.329 0.0696474 0.0520235 0.864554 0.854302 
